Wall time,Step,Value
1731624531.8364632,3600,15803.0
1731624531.868292,4152,15992.0
1731624531.9398642,5424,16376.0
1731624531.95033,5592,16367.0
1731624532.0569248,7632,17026.0
1731624532.126391,9000,17384.0
1731624532.238454,11064,17568.0
1731624532.268227,11592,17575.0
1731624532.2918952,12024,17598.0
1731624532.535918,16776,18092.0
1731624533.1478689,28632,18602.0
1731624533.251692,30576,18609.0
1731624533.3770392,32880,18593.0
1731624533.440761,34008,18562.0
1731624533.5072682,35232,18556.0
1731624533.6553211,38208,18668.0
1731624533.771888,40560,18749.0
1731624534.06811,46704,18989.0
1731624534.169333,48768,19045.0
1731624534.6946821,59424,19255.0
1731624534.750735,60432,19233.0
1731624534.766485,60720,19228.0
1731624534.824094,61824,19227.0
1731624535.048306,66264,19264.0
1731624535.7431989,80040,19358.0
1731624535.927113,83664,19373.0
1731624536.0705862,86544,19396.0
1731624536.076593,86616,19386.0
1731624536.1045382,87144,19383.0
1731624536.219359,89328,19374.0
1731624536.308218,91056,19375.0
1731624536.3116171,91080,19366.0
1731624536.328938,91392,19361.0
1731624536.580341,96288,19367.0
1731624537.378015,102048,17687.0
1731624537.867404,103752,16577.0
1731624537.875147,103776,16560.0
1731624538.637572,106464,15146.0
1731624539.589961,109656,13739.0
1731624540.075077,111336,13150.0
1731624540.0758579,111336,13149.0
1731624540.784302,113784,12400.0
1731624541.05736,114720,12141.0
1731624548.1371362,139968,8468.0
1731624549.74464,145536,8024.0
1731624550.189662,147072,7915.0
1731624551.53758,151872,7620.0
1731624553.46509,158760,7263.0
1731624558.639951,176496,6529.0
1731624559.820548,180600,6401.0
1731624562.05023,188640,6196.0
1731624562.9087338,191688,6124.0
1731624563.611309,194232,6069.0
1731624568.2180018,210600,5752.0
1731624569.346128,214512,5684.0
1731624570.587144,218856,5614.0
1731624570.594495,218880,5614.0
1731624570.967999,220200,5594.0
1731624571.5946171,222312,5559.0
1731624572.368096,225000,5520.0
1731624572.5881321,225768,5509.0
1731624573.6174238,229464,5462.0
1731624574.515441,232656,5422.0
1731624577.403137,240312,5247.0
1731624577.41981,240360,5246.0
1731624577.6807349,241224,5235.0
1731624577.76563,241488,5231.0
1731624577.909888,241968,5225.0
1731624578.214863,242976,5213.0
1731624578.317182,243312,5209.0
1731624578.4843662,243768,5200.0
1731624578.56782,244032,5196.0
1731624579.077562,245712,5176.0
1731624580.1507258,249360,5136.0
1731624580.692912,251256,5118.0
1731624580.713921,251328,5118.0
1731624581.390649,253680,5095.0
1731624584.936488,265656,4981.0
1731624585.292963,266880,4971.0
1731624587.034049,273048,4926.0
1731624587.809371,275736,4906.0
1731624589.5892491,281880,4861.0
1731624591.224475,287640,4824.0
1731624591.225169,287640,4824.0
1731624591.737752,289440,4813.0
1731624593.826008,296736,4769.0
1731624606.934965,342288,4544.0
1731624608.554,347880,4521.0
1731624615.221791,371352,4441.0
1731624619.457109,386136,4395.0
1731624620.910723,391272,4381.0
1731624621.19104,392256,4378.0
1731624622.025305,395208,4370.0
1731624622.7568982,397776,4364.0
1731624628.158311,416808,4317.0
1731624628.991911,419760,4310.0
1731624631.211966,427536,4292.0
1731624633.158646,434400,4277.0
1731624635.381095,442152,4260.0
1731624637.048872,447984,4248.0
1731624641.9712589,465408,4217.0
1731624649.548464,483120,4096.0
1731624650.014962,484728,4093.0
1731624657.04413,509472,4061.0
1731624657.069791,509544,4061.0
1731624657.273961,510264,4060.0
1731624658.219935,513576,4056.0
1731624660.092144,520152,4048.0
1731624663.724682,532848,4033.0
1731624665.7875159,540000,4024.0
1731624667.7047732,546576,4016.0
1731624672.0415099,561744,4000.0
1731624673.3727748,566424,3995.0
1731624679.615416,588168,3973.0
1731624680.274718,590424,3971.0
1731624680.726856,591984,3969.0
1731624680.922596,592608,3968.0
1731624686.2989419,611256,3951.0
1731624688.068363,617328,3945.0
1731624688.4241762,618408,3943.0
1731624688.674867,619272,3942.0
1731624695.0420108,641664,3926.0
1731624696.141133,645456,3922.0
1731624703.681993,671880,3904.0
1731624704.684004,675432,3902.0
1731624710.741832,696600,3888.0
1731624711.232063,698304,3887.0
1731624712.235292,701856,3885.0
1731624716.845797,717816,3875.0
1731624727.4751549,746424,3810.0
1731624727.475935,746424,3810.0
1731624728.8444219,751224,3808.0
1731624735.1934972,772848,3796.0
1731624736.35084,776856,3794.0
1731624742.75338,799272,3785.0
1731624750.7896981,825696,3767.0
1731624750.790588,825696,3767.0
1731624758.981034,852120,3747.0
1731624758.981716,852120,3747.0
1731624758.981796,852120,3747.0
1731624760.116334,856128,3746.0
1731624760.349726,856920,3746.0
1731624766.543435,878544,3739.0
1731624767.3920262,881160,3737.0
1731624774.1679108,904968,3730.0
1731624774.168035,904968,3730.0
1731624774.931883,907584,3729.0
1731624789.521825,957816,3713.0
1731624800.158993,986424,3673.0
1731624807.76669,1012848,3667.0
1731624807.766772,1012848,3667.0
1731624815.484255,1039272,3661.0
1731624815.484376,1039272,3661.0
1731624823.461996,1065696,3651.0
1731624823.462898,1065696,3651.0
1731624825.673692,1073448,3650.0
1731624829.815868,1087872,3648.0
1731624831.5420868,1093920,3647.0
1731624832.500011,1097280,3646.0
1731624833.274679,1099992,3646.0
1731624836.766655,1112208,3644.0
1731624840.52898,1125408,3643.0
1731624842.831058,1133568,3642.0
1731624843.0400891,1134288,3642.0
1731624843.686846,1136448,3641.0
1731624845.143421,1141560,3640.0
1731624846.01277,1144536,3640.0
1731624848.268058,1152000,3637.0
1731624850.5376298,1160136,3637.0
1731624853.9738612,1172088,3635.0
1731624855.9395452,1178424,3633.0
1731624861.095534,1195080,3627.0
1731624872.742353,1226424,3595.0
1731624880.223385,1252848,3593.0
1731624880.224101,1252848,3593.0
1731624880.2243211,1252848,3593.0
1731624882.2477639,1259952,3593.0
1731624887.7220259,1279272,3592.0
1731624902.7599108,1332120,3589.0
1731624903.146685,1333464,3589.0
1731624904.7690501,1339224,3588.0
1731624904.92364,1339752,3588.0
1731624910.588338,1358544,3584.0
1731624910.5885959,1358544,3584.0
1731624910.999721,1359888,3584.0
1731624918.3164191,1384968,3581.0
1731624920.526646,1392600,3580.0
1731624926.2141728,1411392,3576.0
1731624931.622366,1429824,3574.0
1731624933.871495,1437816,3574.0
1731624933.871634,1437816,3574.0
1731624934.253671,1439160,3574.0
1731624938.63727,1448256,3558.0
1731624938.637959,1448256,3558.0
1731624938.638071,1448256,3558.0
1731624943.739566,1466208,3557.0
1731624943.803762,1466424,3557.0
1731624946.298337,1474680,3556.0
1731624951.559687,1492848,3554.0
1731624953.94287,1501104,3554.0
1731624953.943659,1501104,3554.0
1731624954.802614,1504104,3554.0
1731624961.632472,1527528,3552.0
1731624962.5022101,1530528,3551.0
1731624966.931273,1545480,3550.0
1731624970.359251,1556952,3548.0
1731624974.580081,1571856,3548.0
1731624974.59612,1571904,3548.0
1731624978.153538,1583376,3545.0
1731624984.0931861,1602432,3541.0
1731624985.529411,1606800,3539.0
1731624990.914378,1624704,3537.0
1731624992.1475148,1628856,3536.0
1731624993.467364,1633224,3536.0
1731624994.4342809,1636224,3535.0
1731624998.195262,1648464,3533.0
1731624998.964158,1651128,3532.0
1731624998.983331,1651176,3532.0
1731625001.6414871,1659648,3530.0
1731625002.602218,1662648,3530.0
1731625017.929593,1706424,3508.0
1731625017.929717,1706424,3508.0
1731625017.9300108,1706424,3508.0
1731625025.576643,1732848,3508.0
1731625025.577573,1732848,3508.0
1731625025.577755,1732848,3508.0
1731625033.1645901,1759272,3507.0
1731625033.164835,1759272,3507.0
1731625039.233541,1780248,3507.0
1731625040.889121,1785696,3506.0
1731625044.288503,1797480,3506.0
1731625048.695342,1812120,3504.0
1731625048.695457,1812120,3504.0
1731625053.523763,1828296,3503.0
1731625056.650271,1838544,3501.0
1731625062.544926,1859520,3502.0
1731625067.54496,1876752,3501.0
1731625075.16758,1904184,3503.0
1731625078.9771981,1917816,3503.0
1731625078.978034,1917816,3503.0
1731625089.683598,1946424,3487.0
1731625089.684319,1946424,3487.0
1731625089.684427,1946424,3487.0
1731625089.684522,1946424,3487.0
1731625089.684605,1946424,3487.0
1731625097.38655,1972848,3486.0
1731625097.386985,1972848,3486.0
1731625104.9111109,1999272,3487.0
1731625104.912123,1999272,3487.0
1731625112.3890681,2025696,3487.0
1731625112.389965,2025696,3487.0
1731625112.3903291,2025696,3487.0
1731625119.881498,2052120,3488.0
1731625119.8816488,2052120,3488.0
1731625119.881726,2052120,3488.0
1731625119.881833,2052120,3488.0
1731625123.941936,2066160,3488.0
1731625127.609083,2078544,3487.0
1731625127.609233,2078544,3487.0
1731625127.6093628,2078544,3487.0
1731625131.6413178,2092584,3487.0
1731625135.219521,2104968,3487.0
