Wall time,Step,Value
1731575934.975235,4272,6342.0
1731575935.00887,4488,6345.0
1731575935.0627258,4848,6369.0
1731575935.21254,5880,6455.0
1731575935.361852,6888,6496.0
1731575935.458154,7584,6557.0
1731575935.591834,8472,6566.0
1731575935.61745,8640,6566.0
1731575935.949795,11016,6683.0
1731575936.090406,12096,6762.0
1731575936.204467,12960,6810.0
1731575936.537945,15480,6922.0
1731575936.8792598,18192,7057.0
1731575936.885279,18216,7050.0
1731575937.6379058,23952,7179.0
1731575937.861036,25680,7214.0
1731575938.378549,29640,7270.0
1731575938.5225348,30792,7295.0
1731575938.61742,31488,7296.0
1731575938.6228411,31512,7292.0
1731575938.8471968,33168,7296.0
1731575939.070165,34752,7287.0
1731575939.127378,35160,7285.0
1731575939.35818,36816,7280.0
1731575939.377724,36936,7276.0
1731575939.419612,37248,7277.0
1731575939.461146,37536,7275.0
1731575939.646956,38880,7273.0
1731575939.8260028,40152,7268.0
1731575939.90137,40680,7264.0
1731575940.188915,42552,7227.0
1731575940.770011,46872,7246.0
1731575941.025923,48792,7256.0
1731575941.226605,50304,7264.0
1731575941.588274,52896,7259.0
1731575942.8989298,62400,7258.0
1731575943.10971,63936,7258.0
1731575943.405,66096,7260.0
1731575943.565183,67248,7259.0
1731575943.664609,67968,7259.0
1731575943.800075,68952,7259.0
1731575943.829429,69144,7257.0
1731575943.9956212,70344,7256.0
1731575944.2230558,71976,7254.0
1731575944.67869,75312,7257.0
1731575945.404088,80736,7271.0
1731575945.770221,83520,7282.0
1731575946.664373,90360,7309.0
1731575947.040989,93096,7307.0
1731575947.074626,93312,7305.0
1731575947.828765,98760,7300.0
1731575947.9309921,99504,7300.0
1731575947.9445581,99576,7298.0
1731575948.1551008,100368,7244.0
1731575948.429207,100992,7148.0
1731575948.5355809,101232,7112.0
1731575949.571351,103656,6788.0
1731575951.1281059,107568,6392.0
1731575951.203726,107760,6375.0
1731575951.225997,107808,6369.0
1731575951.648731,108960,6281.0
1731575952.440716,111072,6123.0
1731575953.1179671,112848,5997.0
1731575953.353822,113448,5954.0
1731575953.489525,113688,5924.0
1731575953.8862798,114672,5855.0
1731575954.370664,115944,5777.0
1731575954.511274,116304,5754.0
1731575955.181817,118128,5657.0
1731575955.507691,118992,5611.0
1731575955.6316302,119328,5594.0
1731575955.938535,120144,5552.0
1731575956.356535,121224,5496.0
1731575956.7768881,122304,5441.0
1731575957.0023968,122688,5404.0
1731575957.266307,123288,5368.0
1731575957.2776089,123312,5366.0
1731575957.392117,123576,5351.0
1731575957.471126,123768,5341.0
1731575957.514679,123864,5335.0
1731575957.8593721,124728,5294.0
1731575958.0626528,125256,5271.0
1731575958.28812,125856,5246.0
1731575958.43807,126240,5230.0
1731575958.59594,126648,5213.0
1731575958.752949,127056,5196.0
1731575958.7537012,127056,5196.0
1731575959.060035,127872,5164.0
1731575959.318743,128568,5139.0
1731575959.6877608,129600,5105.0
1731575959.8528209,130032,5089.0
1731575960.204652,130992,5057.0
1731575960.549291,131952,5027.0
1731575960.600959,132072,5021.0
1731575960.6446478,132192,5018.0
1731575961.256226,133848,4965.0
1731575964.413413,142872,4744.0
1731575965.05758,144744,4706.0
1731575968.070875,153480,4544.0
1731575968.806528,155616,4509.0
1731575969.562736,157776,4474.0
1731575970.374687,160056,4436.0
1731575970.536719,160488,4429.0
1731575971.394521,162840,4390.0
1731575972.1746318,165000,4356.0
1731575972.5941389,166152,4339.0
1731575972.685371,166392,4334.0
1731575973.510717,168648,4301.0
1731575973.642756,169008,4295.0
1731575975.824349,174840,4210.0
1731575976.752615,177432,4179.0
1731575979.347111,184680,4099.0
1731575979.903014,186240,4084.0
1731575979.99838,186504,4081.0
1731575980.56808,188064,4064.0
1731575981.0113559,189288,4052.0
1731575981.1081102,189552,4049.0
1731575981.3282619,190152,4043.0
1731575982.165107,192456,4020.0
1731575982.384693,193032,4014.0
1731575982.697109,193896,4006.0
1731575982.887477,194400,4001.0
1731575982.9618409,194592,3998.0
1731575983.421387,195816,3986.0
1731575983.525001,196032,3982.0
1731575983.6438458,196344,3979.0
1731575984.123083,197616,3966.0
1731575984.246131,197952,3963.0
1731575984.639364,198984,3952.0
1731575984.693472,199128,3951.0
