Wall time,Step,Value
1731580170.953496,2275464,2684.0
1731580175.0054011,2286432,2684.0
1731580175.3630972,2287392,2684.0
1731580176.55861,2290608,2684.0
1731580178.884751,2296848,2684.0
1731580179.2824068,2297928,2684.0
1731580182.551754,2306736,2684.0
1731580182.734525,2307216,2684.0
1731580184.53285,2312088,2684.0
1731580185.212706,2313912,2684.0
1731580185.341283,2314248,2684.0
1731580186.1954718,2316552,2684.0
1731580190.995028,2329464,2684.0
1731580191.3661509,2330472,2684.0
1731580193.768002,2336952,2684.0
1731580199.247322,2351736,2684.0
1731580200.394475,2354784,2684.0
1731580200.876825,2356080,2684.0
1731580203.927226,2364312,2684.0
1731580206.4780831,2371176,2684.0
1731580209.09428,2378208,2685.0
1731580209.9243038,2380392,2684.0
1731580213.3581598,2389656,2685.0
1731580215.0968058,2394360,2685.0
1731580222.07775,2400312,2670.0
1731580225.06709,2408376,2670.0
1731580227.322056,2414448,2670.0
1731580230.5353,2423064,2670.0
1731580230.85676,2423928,2670.0
1731580231.603457,2425896,2670.0
1731580235.655156,2436792,2671.0
1731580238.6365209,2444904,2671.0
1731580238.674884,2445000,2671.0
1731580243.645215,2458176,2671.0
1731580243.658307,2458200,2671.0
1731580245.476086,2463048,2671.0
1731580247.182881,2467536,2670.0
1731580251.4894679,2479104,2671.0
1731580252.399324,2481504,2671.0
1731580254.9031649,2488248,2671.0
1731580256.184979,2491560,2670.0
1731580257.860474,2496120,2671.0
1731580258.110236,2496792,2671.0
1731580259.139283,2499552,2671.0
1731580260.0127602,2501880,2671.0
1731580260.552258,2503320,2671.0
1731580262.482156,2508528,2671.0
1731580265.594791,2516664,2670.0
1731580269.780768,2527920,2671.0
1731580274.036762,2539320,2671.0
1731580274.1643388,2539656,2671.0
1731580274.81048,2541408,2671.0
1731580276.634581,2546304,2671.0
1731580279.601061,2553936,2670.0
1731580283.29665,2563752,2670.0
1731580284.396109,2566632,2670.0
1731580285.670178,2570040,2670.0
1731580290.490867,2583024,2670.0
1731580293.351937,2590632,2670.0
1731580301.567351,2612640,2670.0
1731580302.0323079,2613840,2670.0
1731580305.6057248,2623488,2670.0
1731580309.22399,2633208,2670.0
1731580309.386119,2633640,2670.0
1731580311.395621,2639040,2670.0
1731580311.7535172,2639904,2670.0
1731580320.948473,2651304,2657.0
1731580322.523554,2655456,2657.0
1731580324.1799412,2659896,2657.0
1731580325.745625,2664072,2657.0
1731580338.96069,2699448,2657.0
1731580340.935842,2704776,2658.0
1731580341.14128,2705328,2658.0
1731580341.480659,2706240,2658.0
1731580345.8998132,2718072,2658.0
1731580349.147678,2726784,2658.0
1731580350.128285,2729424,2658.0
1731580352.9324548,2736960,2658.0
1731580354.2143779,2740344,2658.0
1731580355.4889321,2743752,2658.0
1731580358.546752,2752056,2658.0
1731580360.017236,2756016,2658.0
1731580361.232065,2759304,2658.0
1731580363.03949,2764176,2658.0
1731580363.852692,2766336,2658.0
1731580363.9563258,2766600,2658.0
1731580365.379406,2770440,2658.0
1731580366.454145,2773344,2658.0
1731580370.3103812,2783688,2658.0
1731580373.169607,2791416,2658.0
1731580378.783417,2806440,2659.0
1731580379.2345889,2807664,2659.0
1731580388.350642,2832024,2659.0
1731580388.965127,2833680,2659.0
1731580398.6848361,2859744,2659.0
1731580402.703723,2870544,2659.0
1731580403.239027,2871984,2659.0
1731580405.23338,2877216,2659.0
1731580405.6138291,2878224,2659.0
1731580413.5337741,2885352,2646.0
1731580416.0802372,2892072,2646.0
1731580418.375721,2898288,2646.0
1731580419.2573519,2900568,2646.0
1731580424.4884942,2914608,2646.0
1731580425.226143,2916600,2646.0
1731580425.3750348,2916960,2646.0
1731580427.976293,2923968,2647.0
1731580428.795451,2926152,2647.0
1731580429.702275,2928576,2647.0
1731580431.639421,2933736,2647.0
1731580433.243791,2938032,2647.0
1731580434.8107672,2942184,2647.0
1731580435.777716,2944728,2647.0
1731580440.227909,2956584,2647.0
1731580442.334344,2962224,2647.0
1731580446.3561249,2972952,2647.0
1731580448.819463,2979600,2647.0
1731580451.734024,2987352,2647.0
1731580458.702677,3006000,2647.0
1731580461.159273,3012552,2647.0
1731580471.536952,3040272,2647.0
1731580473.890473,3046608,2647.0
1731580475.105005,3049824,2647.0
1731580478.51102,3058992,2648.0
1731580479.474197,3061560,2648.0
1731580481.368812,3066648,2648.0
1731580482.366048,3069336,2648.0
1731580487.205096,3082200,2648.0
1731580487.408772,3082752,2648.0
1731580496.260638,3106128,2648.0
1731580497.368382,3109152,2648.0
1731580512.381612,3136704,2638.0
1731580513.949044,3140904,2638.0
1731580515.4344661,3144840,2638.0
1731580518.289549,3152496,2638.0
1731580524.0267992,3167856,2638.0
1731580529.326369,3182016,2638.0
1731580530.631706,3185496,2638.0
1731580532.943715,3191712,2638.0
1731580534.5609589,3196032,2638.0
1731580535.568533,3198648,2638.0
1731580538.487818,3206376,2638.0
1731580539.1815119,3208224,2638.0
1731580544.6457732,3222864,2638.0
1731580544.887834,3223464,2638.0
1731580547.580775,3230688,2638.0
1731580547.7942772,3231264,2638.0
1731580548.487838,3233136,2639.0
1731580548.731345,3233784,2639.0
1731580555.1250181,3250992,2639.0
1731580555.5822551,3252216,2639.0
1731580556.314879,3254160,2639.0
1731580559.1799092,3261768,2639.0
1731580561.489732,3267744,2639.0
1731580562.153559,3269328,2639.0
1731580563.213362,3271920,2638.0
1731580565.4834728,3277320,2638.0
1731580566.741029,3280440,2638.0
1731580567.628607,3282624,2638.0
1731580571.191117,3291864,2638.0
1731580571.967108,3293880,2638.0
1731580572.225593,3294528,2638.0
1731580575.6554172,3303552,2637.0
1731580576.3674428,3305448,2638.0
1731580580.694817,3316824,2637.0
1731580582.370052,3320424,2637.0
1731580583.584219,3323280,2637.0
1731580588.3980632,3335664,2636.0
1731580588.4494789,3335784,2636.0
1731580591.00921,3342624,2636.0
1731580593.78614,3349824,2636.0
1731580595.7061381,3354720,2636.0
1731580595.873317,3355128,2636.0
1731580596.334189,3356328,2636.0
1731580604.662087,3365112,2626.0
1731580607.2179399,3371976,2626.0
1731580610.8746738,3381480,2626.0
1731580611.8590121,3384072,2626.0
1731580611.974127,3384384,2626.0
1731580614.7244449,3391368,2626.0
1731580614.736133,3391392,2626.0
1731580618.496104,3401064,2626.0
1731580621.089962,3407400,2625.0
1731580622.5028381,3411144,2625.0
1731580624.544085,3416592,2625.0
1731580627.150532,3423552,2625.0
1731580631.028386,3433920,2625.0
1731580632.3591318,3437088,2625.0
1731580633.8537972,3441048,2625.0
1731580636.229734,3447048,2625.0
1731580636.522938,3447792,2625.0
1731580636.824078,3448560,2625.0
1731580640.395838,3458040,2625.0
1731580642.718506,3464208,2625.0
1731580643.436336,3466080,2625.0
1731580645.421298,3471384,2625.0
1731580645.68005,3472080,2625.0
1731580649.1035972,3481224,2625.0
1731580649.478274,3482232,2625.0
1731580657.046199,3502392,2626.0
1731580658.67824,3506760,2626.0
1731580660.409926,3511392,2626.0
1731580661.2960598,3513744,2626.0
1731580665.612045,3525096,2626.0
1731580668.4474628,3532104,2625.0
1731580673.445806,3544800,2625.0
1731580674.888453,3548616,2625.0
1731580675.213643,3549504,2625.0
1731580675.299408,3549720,2625.0
1731580677.115753,3554592,2625.0
1731580678.794251,3559080,2625.0
1731580679.953475,3562152,2625.0
1731580682.215401,3568152,2625.0
1731580685.274805,3576312,2625.0
1731580686.254005,3578904,2625.0
1731580687.270282,3581592,2625.0
1731580687.320804,3581712,2625.0
1731580687.33311,3581736,2625.0
1731580692.660476,3595920,2626.0
1731580693.620737,3598464,2626.0
1731580698.990585,3600432,2617.0
1731580699.3716621,3601440,2617.0
1731580701.0504599,3605904,2617.0
1731580704.3954759,3614832,2617.0
1731580705.4249349,3617592,2617.0
1731580707.3363369,3622680,2617.0
1731580710.36002,3630744,2617.0
1731580714.151465,3640848,2617.0
1731580716.739574,3647784,2617.0
1731580718.773087,3653208,2618.0
1731580721.142699,3659520,2618.0
1731580721.980581,3661752,2618.0
1731580726.4845362,3673752,2618.0
1731580726.584131,3674016,2618.0
1731580726.982003,3675072,2618.0
1731580728.866855,3680112,2618.0
1731580730.438146,3684288,2618.0
1731580732.397276,3689496,2618.0
1731580735.2189949,3697080,2618.0
1731580739.081586,3707472,2618.0
1731580739.373016,3708240,2618.0
1731580741.241418,3713208,2618.0
1731580743.6312718,3719352,2618.0
1731580746.283299,3726264,2618.0
1731580750.06234,3736440,2618.0
1731580750.3618681,3737184,2618.0
1731580753.820835,3746352,2618.0
1731580758.1454122,3757560,2618.0
1731580760.05163,3762672,2618.0
1731580762.0067048,3767856,2619.0
1731580765.879317,3778248,2619.0
1731580768.417017,3785040,2619.0
1731580768.95396,3786480,2619.0
1731580769.388662,3787632,2619.0
1731580773.665597,3799080,2619.0
1731580774.544944,3801456,2619.0
1731580775.922538,3805128,2619.0
1731580776.39537,3806376,2619.0
1731580776.8000178,3807456,2619.0
1731580778.259727,3811344,2619.0
1731580778.389247,3811680,2619.0
1731580780.574425,3817608,2619.0
1731580781.1027808,3819024,2619.0
1731580784.2327008,3827184,2619.0
1731580785.658885,3831000,2619.0
1731580787.19251,3835152,2619.0
1731580787.2608142,3835320,2619.0
1731580800.288992,3857256,2611.0
1731580801.529577,3860592,2611.0
1731580802.6088488,3863472,2611.0
1731580807.2418041,3875568,2611.0
1731580807.58061,3876432,2611.0
1731580807.904414,3877272,2611.0
1731580808.467395,3878616,2611.0
1731580811.1192262,3885432,2611.0
1731580811.931427,3887592,2611.0
1731580814.46647,3894384,2611.0
1731580818.719573,3905784,2611.0
1731580819.1111941,3906816,2611.0
1731580820.830217,3911424,2612.0
1731580824.64813,3921696,2612.0
1731580829.13459,3933768,2612.0
1731580829.9340868,3935904,2612.0
1731580830.285998,3936816,2612.0
1731580833.211178,3944712,2612.0
1731580833.553636,3945648,2612.0
1731580835.3339431,3950472,2612.0
1731580835.725549,3951528,2612.0
1731580836.9153018,3954792,2612.0
1731580838.491062,3959016,2612.0
1731580841.503582,3967128,2613.0
1731580842.193826,3968976,2613.0
1731580843.099221,3971424,2613.0
1731580847.526436,3983376,2613.0
1731580847.547542,3983424,2613.0
1731580848.901898,3987096,2613.0
1731580851.3778272,3993696,2613.0
1731580852.838444,3997608,2613.0
1731580854.39308,4001784,2613.0
1731580857.017104,4008888,2613.0
1731580859.959501,4016808,2614.0
1731580860.0228941,4016976,2614.0
1731580862.089804,4022592,2614.0
1731580862.196982,4022880,2614.0
1731580868.462026,4039776,2614.0
1731580870.8099709,4046136,2614.0
1731580872.939866,4051872,2614.0
1731580874.626348,4056384,2614.0
