Wall time,Step,Value
1731579338.4690292,104712,0.031002862378954887
1731579338.743742,105456,-0.027077585458755493
1731579339.339947,106992,-0.01303265430033207
1731579339.530802,107496,-0.017115969210863113
1731579340.058561,108960,-0.009758660569787025
1731579340.222322,109392,-0.013976351357996464
1731579340.254178,109464,-0.004930910654366016
1731579340.9021618,111096,-0.0001870200503617525
1731579340.9920409,111336,0.031073564663529396
1731579341.117219,111672,-0.025983024388551712
1731579341.696192,113136,0.02332226373255253
1731579343.766901,118416,0.03299589827656746
1731579344.336263,119904,0.010746230371296406
1731579344.99135,121632,0.07923377305269241
1731579345.548238,123024,0.04413812607526779
1731579345.809084,123624,0.05503862723708153
1731579345.858698,123744,0.058658018708229065
1731579346.253394,124728,0.018732113763689995
1731579346.3851771,125040,0.016209086403250694
1731579346.509917,125376,0.04872581362724304
1731579355.895243,150288,-0.004016397520899773
1731579356.132241,150888,-0.0346539206802845
1731579356.294572,151296,-0.09177322685718536
1731579356.32607,151368,-0.04524875432252884
1731579356.368365,151464,-0.04702015966176987
1731579357.313169,153888,-0.08252489566802979
1731579357.707617,154872,0.007431176491081715
1731579358.126218,155880,-0.0868750587105751
1731579358.201704,156072,-0.09789042174816132
1731579358.286988,156264,-0.07863016426563263
1731579358.329126,156360,-0.02497934177517891
1731579359.189009,158520,-0.06820687651634216
1731579359.361502,158976,-0.12744292616844177
1731579359.761729,159960,-0.10633934289216995
1731579360.670631,162288,-0.08102831244468689
1731579366.9275599,178992,-0.15349726378917694
1731579371.28929,191136,-0.03485608100891113
1731579371.365449,191328,-0.11385256797075272
1731579373.6349702,197592,-0.10794685781002045
1731579375.110754,201648,-0.11648774147033691
1731579376.144552,204384,-0.15593498945236206
1731579379.027712,211896,-0.11719568073749542
1731579380.955382,216912,-0.21461227536201477
1731579381.3408499,217896,-0.15579073131084442
1731579381.668947,218712,-0.10923581570386887
1731579382.621886,221136,-0.06043644994497299
1731579382.886085,221808,-0.14199310541152954
1731579383.4376361,223224,-0.1431826502084732
1731579386.479291,231408,-0.042677219957113266
1731579386.695776,232008,-0.1568613350391388
1731579387.265523,233592,-0.07991728186607361
1731579389.0397701,238440,-0.1665400266647339
1731579390.888173,240000,-0.19115589559078217
1731579392.964001,245304,-0.16026432812213898
1731579393.2877572,246192,-0.09026432037353516
1731579393.5336971,246864,-0.14209885895252228
1731579393.961216,248064,-0.07994270324707031
1731579394.060521,248328,-0.09526623785495758
1731579394.28671,248976,-0.134283185005188
1731579395.545708,252456,-0.08856509625911713
1731579396.648917,255552,-0.06600964069366455
1731579397.135112,256920,-0.03752671554684639
1731579397.219938,257160,-0.06761477142572403
1731579397.2639308,257280,-0.03789733350276947
1731579398.108352,259680,-0.0936831459403038
1731579399.209602,262800,-0.07268915325403214
1731579399.755018,264336,-0.05261533707380295
1731579399.792219,264432,-0.07201144844293594
1731579400.5051992,266424,0.05017198622226715
1731579402.2785769,271416,-0.04025191813707352
1731579402.4893792,272016,-0.049029432237148285
1731579402.725527,272688,-0.08800368010997772
1731579403.485646,274800,0.0005892068147659302
1731579404.868512,278760,0.10553557425737381
1731579406.401637,283128,0.03195841982960701
1731579406.55677,283560,0.10700778663158417
1731579408.4978151,289104,0.24420851469039917
1731579408.817463,290016,0.2174728810787201
1731579409.38214,291624,0.20708253979682922
1731579413.813238,304344,1.005933165550232
1731579414.874269,307272,0.5139861106872559
1731579415.48564,309000,0.5955220460891724
1731579415.573257,309240,0.1768825203180313
1731579416.762178,312648,0.22721326351165771
1731579418.0870981,316440,0.6642678380012512
1731579418.2299361,316824,0.07211339473724365
1731579419.6583629,320880,0.2871394753456116
1731579419.696267,320976,0.5619523525238037
1731579420.404186,323016,0.6367505788803101
1731579420.974881,324648,0.15882067382335663
1731579421.355844,325728,0.3202067017555237
1731579422.585034,329304,0.4838326871395111
1731579422.786031,329904,0.6977809071540833
1731579423.378646,331656,0.5277142524719238
1731579423.7693079,332784,0.6076447367668152
1731579426.908298,341736,0.18115226924419403
1731579427.408504,343176,0.28471261262893677
1731579429.629591,349512,0.6616878509521484
1731579430.179379,351048,0.8128536939620972
1731579430.385639,351624,0.6565167903900146
1731579430.704879,352512,0.9326545596122742
1731579430.775103,352704,0.6831612586975098
1731579431.3921611,354432,0.09270678460597992
1731579432.4853408,357360,0.9933052062988281
1731579433.246376,359472,0.16753527522087097
1731579434.4141839,362808,0.27399584650993347
1731579434.780166,363864,0.21766309440135956
1731579438.309728,373680,0.3623003363609314
1731579439.5272908,377088,0.6475079655647278
1731579439.976734,378312,0.7277651429176331
1731579443.122829,386976,0.9391589760780334
1731579443.279972,387408,0.9998881220817566
1731579446.2952719,395904,0.6932928562164307
1731579447.819983,400224,0.5195649862289429
1731579448.6352909,402504,0.6182572245597839
1731579449.995893,406344,0.2602032721042633
1731579450.0488372,406488,0.4383871555328369
1731579450.577787,407976,0.8430701494216919
1731579452.20178,412104,0.5428752303123474
1731579452.8195999,413832,0.922770619392395
1731579453.2221792,414936,0.4696008563041687
1731579454.4595551,418344,0.37756073474884033
1731579455.6185448,421584,0.20063406229019165
1731579456.325817,423552,0.3124353587627411
1731579456.63997,424416,0.422052800655365
1731579456.672846,424488,0.2758657932281494
1731579458.264043,428928,0.9958562850952148
1731579461.12076,437088,0.27283015847206116
1731579461.1335151,437112,0.6863059997558594
1731579462.2549498,440256,0.4637901186943054
1731579463.874979,444720,0.3025224208831787
1731579464.108187,445368,0.35052430629730225
1731579464.8882902,447552,0.35628318786621094
1731579470.579478,463512,0.5339117646217346
1731579471.518782,466080,0.5342617630958557
1731579473.391068,471120,0.30768126249313354
1731579474.18907,473328,0.8702278733253479
1731579475.307654,476376,0.7417380213737488
1731579475.9038332,478032,0.5429844260215759
1731579481.181885,480000,0.26109418272972107
1731579482.408931,483216,0.4281701445579529
1731579483.458527,486000,0.646346926689148
1731579484.251416,488160,0.6332331299781799
1731579484.5956328,489096,0.6545132398605347
1731579484.843075,489792,0.7903475165367126
1731579489.362692,502344,0.8328341245651245
1731579491.553322,508344,0.435342937707901
1731579492.355731,510456,0.5978285074234009
1731579493.02459,512256,0.6754558086395264
1731579493.939584,514680,0.4913215637207031
1731579494.131066,515184,0.6206836700439453
1731579494.266421,515520,0.7945248484611511
1731579494.3273861,515664,0.3816224932670593
1731579494.6739562,516576,0.7016755938529968
1731579495.427677,518544,1.0251773595809937
1731579495.9616919,519960,0.6372784972190857
1731579496.185018,520488,0.47495144605636597
1731579496.85724,522216,1.1291382312774658
1731579496.987822,522552,0.5111544132232666
1731579497.356929,523488,0.33554694056510925
1731579497.737514,524424,0.35981428623199463
1731579501.342859,534096,0.9075271487236023
1731579503.109594,538872,0.5191568732261658
1731579506.7647202,549120,0.3742469251155853
1731579506.970059,549672,0.867134690284729
1731579508.642071,554208,0.5957266688346863
1731579508.7772958,554568,0.5957774519920349
1731579509.2695959,555888,0.5663684606552124
1731579509.863471,557472,1.1624414920806885
1731579510.678339,559608,0.47687873244285583
1731579513.9605,568464,0.42838528752326965
1731579514.760283,570624,0.37835103273391724
1731579514.807221,570744,0.6216858625411987
1731579514.8834949,570936,0.49498140811920166
1731579515.706945,573096,0.7141739130020142
1731579516.875249,576072,0.39731577038764954
1731579518.789768,580992,0.7595881223678589
1731579520.018676,584136,0.8861655592918396
1731579520.152076,584472,0.5311312079429626
1731579520.266337,584760,0.7335870862007141
1731579521.542261,588048,1.1129601001739502
1731579521.8365939,588816,0.5699949264526367
1731579527.8227909,604848,0.48955675959587097
1731579528.5471292,606792,0.46270015835762024
1731579528.847923,607608,0.44032448530197144
1731579530.43737,611832,0.9234084486961365
1731579531.4344902,614472,0.6525437831878662
1731579533.707537,620400,0.500986635684967
1731579537.8398771,631656,0.5988004803657532
1731579539.217794,635304,0.6477786302566528
1731579539.550561,636144,0.6540455222129822
1731579540.1613262,637728,0.5325100421905518
1731579540.387774,638280,0.5152968764305115
1731579541.6714602,641592,0.40184271335601807
1731579544.2067509,648072,0.8203517198562622
1731579545.949437,652680,0.3624364733695984
1731579546.979189,655392,0.6381193399429321
1731579547.055414,655584,0.3646388053894043
1731579547.632333,657096,0.6156642436981201
1731579548.583701,659664,0.7313767075538635
1731579548.778783,660120,0.5977807641029358
1731579549.326957,661512,0.3960846960544586
1731579552.220371,669120,0.5896080732345581
1731579552.3259141,669384,0.9973204731941223
1731579555.451951,677736,0.6471825838088989
1731579560.1947572,690552,0.5271123647689819
1731579560.836192,692280,0.4534369111061096
1731579560.954449,692592,0.5277305841445923
1731579561.5071099,694080,0.620980441570282
1731579562.371924,696408,0.6152251958847046
1731579562.886494,697800,0.53281569480896
1731579563.0161521,698160,0.3953033983707428
1731579563.165151,698568,0.6299386024475098
1731579563.765186,700176,0.3647191524505615
1731579563.8408499,700368,0.5062733888626099
1731579564.917129,703176,0.5652631521224976
1731579565.691272,705192,0.8252317309379578
1731579566.2500942,706632,0.5774499773979187
1731579566.281426,706704,0.5280571579933167
1731579567.034561,708672,0.5310399532318115
1731579569.546298,715368,0.5175679922103882
1731579576.228213,723840,0.5913766622543335
1731579577.876313,728112,0.6725291013717651
1731579581.213509,736848,0.793969452381134
1731579583.250059,742200,0.7189092040061951
1731579585.29335,747744,0.44120776653289795
1731579587.356784,753408,0.540213406085968
1731579589.029237,757656,0.5655906200408936
1731579594.634781,772560,0.48561856150627136
1731579597.267545,779760,0.656802237033844
1731579598.461637,783120,0.5080738067626953
1731579598.65418,783648,0.47053998708724976
1731579598.6843588,783720,0.36263009905815125
1731579598.8169842,784080,0.7088656425476074
1731579600.5089521,788712,0.6476764678955078
1731579601.57313,791712,0.48100414872169495
1731579602.3624508,793800,0.3228648900985718
1731579602.676163,794568,0.4917832314968109
1731579605.615293,801888,0.6596719026565552
1731579605.988582,802896,0.4616488218307495
1731579607.171468,806184,0.4362976849079132
1731579607.4236648,806880,0.5886461734771729
1731579609.440128,812448,0.5770289301872253
1731579610.5343418,815496,0.5165903568267822
1731579614.453527,825864,0.5173197984695435
1731579616.4326138,831312,0.32561051845550537
1731579618.913923,837984,0.6352443099021912
1731579620.324099,841848,0.4163703918457031
1731579621.014198,843768,0.33073532581329346
1731579629.703886,868272,0.45665183663368225
1731579630.148438,869544,0.5812099575996399
1731579630.6096551,870816,0.5314110517501831
1731579634.031649,880128,0.4502390921115875
1731579636.205626,886176,0.4914630651473999
1731579639.49088,895008,0.4274848699569702
1731579646.589472,914688,0.42259714007377625
1731579647.2443001,916512,0.8244141936302185
1731579647.8020768,918048,0.27384406328201294
1731579647.975508,918528,0.4571043848991394
1731579648.1275399,918888,0.5977559685707092
1731579648.206264,919104,0.5631004571914673
1731579649.295039,922176,0.304923951625824
1731579649.3331041,922272,0.3992011249065399
